0:0:0:0:0:0:0:1 - - [05/Feb/2022:17:10:25 +0900] "GET /BBS/post.jsp?bbsID=32 HTTP/1.1" 200 2856
0:0:0:0:0:0:0:1 - - [05/Feb/2022:17:10:25 +0900] "GET /BBS/home.html HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [05/Feb/2022:17:10:38 +0900] "GET /BBS/post.jsp?bbsID=32 HTTP/1.1" 200 2855
0:0:0:0:0:0:0:1 - - [05/Feb/2022:17:10:39 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 3851
0:0:0:0:0:0:0:1 - - [05/Feb/2022:17:10:42 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 6450
0:0:0:0:0:0:0:1 - - [05/Feb/2022:17:10:42 +0900] "GET /BBS/post.jsp?bbsID=32 HTTP/1.1" 200 2855
0:0:0:0:0:0:0:1 - - [05/Feb/2022:17:11:02 +0900] "GET /BBS/post.jsp?bbsID=32 HTTP/1.1" 200 2855
0:0:0:0:0:0:0:1 - - [05/Feb/2022:17:11:05 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 6450
0:0:0:0:0:0:0:1 - - [05/Feb/2022:17:11:08 +0900] "GET /BBS/post.jsp?bbsID=32 HTTP/1.1" 200 2855
0:0:0:0:0:0:0:1 - - [05/Feb/2022:17:11:20 +0900] "GET /BBS/post.jsp?bbsID=31 HTTP/1.1" 200 2892
0:0:0:0:0:0:0:1 - - [05/Feb/2022:17:11:22 +0900] "GET /BBS/update.jsp?bbsID=31 HTTP/1.1" 200 3177
0:0:0:0:0:0:0:1 - - [05/Feb/2022:17:11:28 +0900] "POST /BBS/updateAction.jsp?bbsID=31 HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [05/Feb/2022:17:11:28 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 6446
0:0:0:0:0:0:0:1 - - [05/Feb/2022:17:11:32 +0900] "GET /BBS/post.jsp?bbsID=31 HTTP/1.1" 200 2848
0:0:0:0:0:0:0:1 - - [05/Feb/2022:17:11:38 +0900] "GET /BBS/post.jsp?bbsID=30 HTTP/1.1" 200 2860
0:0:0:0:0:0:0:1 - - [05/Feb/2022:17:11:42 +0900] "GET /BBS/deleteAction.jsp?bbsID=30 HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [05/Feb/2022:17:11:42 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 6447
0:0:0:0:0:0:0:1 - - [05/Feb/2022:17:12:31 +0900] "GET /BBS/post.jsp?bbsID=32 HTTP/1.1" 200 2855
0:0:0:0:0:0:0:1 - - [05/Feb/2022:17:13:06 +0900] "GET /BBS/post.jsp?bbsID=32 HTTP/1.1" 200 2942
0:0:0:0:0:0:0:1 - - [05/Feb/2022:17:13:07 +0900] "GET /BBS/post.jsp?bbsID=32 HTTP/1.1" 200 2942
0:0:0:0:0:0:0:1 - - [05/Feb/2022:17:13:34 +0900] "GET /BBS/post.jsp?bbsID=32 HTTP/1.1" 200 2883
0:0:0:0:0:0:0:1 - - [05/Feb/2022:17:14:15 +0900] "GET /BBS/post.jsp?bbsID=32 HTTP/1.1" 200 2883
0:0:0:0:0:0:0:1 - - [05/Feb/2022:17:14:31 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 3851
