0:0:0:0:0:0:0:1 - - [03/May/2022:19:36:45 +0900] "POST /BBS/writeAction.jsp?category=studyboard HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [03/May/2022:19:36:45 +0900] "GET /BBS/studyboard.jsp HTTP/1.1" 200 4611
0:0:0:0:0:0:0:1 - - [03/May/2022:19:36:46 +0900] "GET /BBS/write.jsp?category=studyboard HTTP/1.1" 200 3569
0:0:0:0:0:0:0:1 - - [03/May/2022:19:36:48 +0900] "POST /BBS/writeAction.jsp?category=studyboard HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [03/May/2022:19:36:48 +0900] "GET /BBS/studyboard.jsp HTTP/1.1" 200 4945
0:0:0:0:0:0:0:1 - - [03/May/2022:19:36:49 +0900] "GET /BBS/write.jsp?category=studyboard HTTP/1.1" 200 3569
0:0:0:0:0:0:0:1 - - [03/May/2022:19:36:50 +0900] "POST /BBS/writeAction.jsp?category=studyboard HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [03/May/2022:19:36:50 +0900] "GET /BBS/studyboard.jsp HTTP/1.1" 200 5279
0:0:0:0:0:0:0:1 - - [03/May/2022:19:36:52 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 5759
0:0:0:0:0:0:0:1 - - [03/May/2022:19:38:09 +0900] "GET /BBS/map.jsp?userID=kim&myLink=yes HTTP/1.1" 200 98256
0:0:0:0:0:0:0:1 - - [03/May/2022:19:38:12 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:19:38:12 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:19:38:12 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:19:38:12 +0900] "POST /BBS/noteAction.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [03/May/2022:19:38:13 +0900] "POST /BBS/updateFileAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:19:38:13 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:19:38:14 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:19:38:14 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:19:38:15 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:19:38:16 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:19:38:31 +0900] "GET /BBS/popup.jsp?itemID=grade1_item1L&mapID=kim HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [03/May/2022:19:38:33 +0900] "GET /BBS/upload_map.jsp?itemID=grade1_item1L&mapID=kim HTTP/1.1" 200 1650
0:0:0:0:0:0:0:1 - - [03/May/2022:19:39:17 +0900] "GET /BBS/map.jsp?userID=kim&myLink=yes HTTP/1.1" 200 98257
0:0:0:0:0:0:0:1 - - [03/May/2022:19:39:20 +0900] "GET /BBS/popup.jsp?itemID=grade1_item1L&mapID=kim HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [03/May/2022:19:39:25 +0900] "GET /BBS/upload_map.jsp?itemID=grade1_item1L&mapID=kim HTTP/1.1" 200 1650
0:0:0:0:0:0:0:1 - - [03/May/2022:19:39:34 +0900] "POST /BBS/uploadAction.jsp?id=grade1_item1L HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [03/May/2022:19:39:35 +0900] "GET /BBS/upload_map.jsp?itemID=grade1_item1L&mapID=kim HTTP/1.1" 200 1650
0:0:0:0:0:0:0:1 - - [03/May/2022:19:39:38 +0900] "GET /BBS/fileDownload.jsp?itemID=grade1_item1L&mapID=kim HTTP/1.1" 200 1528
0:0:0:0:0:0:0:1 - - [03/May/2022:19:39:40 +0900] "GET /BBS/downloadAction?directory=D:/JSP/upload/kim/grade1_item1L&file=%EC%9D%B4%EB%AF%B8%EC%A7%80.PNG HTTP/1.1" 200 1172
0:0:0:0:0:0:0:1 - - [03/May/2022:19:39:43 +0900] "GET /BBS/upload_map.jsp?itemID=grade1_item1L&mapID=kim HTTP/1.1" 200 1650
0:0:0:0:0:0:0:1 - - [03/May/2022:19:39:49 +0900] "GET /BBS/fileDownload.jsp?itemID=grade1_item1L&mapID=kim HTTP/1.1" 200 1528
0:0:0:0:0:0:0:1 - - [03/May/2022:19:39:50 +0900] "POST /BBS/deleteFileAction.jsp HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [03/May/2022:19:39:50 +0900] "GET /BBS/fileDownload.jsp?itemID=grade1_item1L&mapID=kim HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [03/May/2022:19:39:57 +0900] "POST /BBS/noteAction.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [03/May/2022:19:39:57 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:19:39:57 +0900] "POST /BBS/updateFileAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:19:39:57 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/May/2022:19:43:23 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 5759
0:0:0:0:0:0:0:1 - - [03/May/2022:19:43:24 +0900] "GET /BBS/noticeAdmin.jsp HTTP/1.1" 200 3812
0:0:0:0:0:0:0:1 - - [03/May/2022:19:43:28 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 5759
0:0:0:0:0:0:0:1 - - [03/May/2022:19:43:29 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 10996
0:0:0:0:0:0:0:1 - - [03/May/2022:19:43:31 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 5759
0:0:0:0:0:0:0:1 - - [03/May/2022:19:43:32 +0900] "GET /BBS/roadmapManual.jsp HTTP/1.1" 200 5519
0:0:0:0:0:0:0:1 - - [03/May/2022:19:43:33 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 5759
0:0:0:0:0:0:0:1 - - [03/May/2022:19:43:35 +0900] "GET /BBS/recommendmap.jsp?pageNumber=1&selected=public HTTP/1.1" 200 6665
